fecha,jurisdiccion,sorteo,numero,posicion
2025-12-15,PBA,Vespertina,6504,7
2025-12-15,PBA,Vespertina,9878,8
2025-12-15,PBA,Vespertina,0581,9
2025-12-15,PBA,Vespertina,7479,10
2025-12-15,PBA,Vespertina,4233,11
2025-12-15,PBA,Vespertina,3276,12
2025-12-15,PBA,Vespertina,2202,13
2025-12-15,PBA,Vespertina,8381,14
2025-12-15,PBA,Vespertina,3472,15
2025-12-15,PBA,Vespertina,6287,16
2025-12-15,PBA,Vespertina,9815,17
2025-12-15,PBA,Vespertina,9736,18
2025-12-15,PBA,Vespertina,1609,19
2025-12-15,PBA,Vespertina,0298,20
2025-12-15,SALTA,Extra,4621,1
2025-12-15,SALTA,Extra,8405,2
2025-12-15,SALTA,Extra,0230,3
2025-12-15,SALTA,Extra,4235,4
2025-12-15,SALTA,Extra,2080,5
2025-12-15,SALTA,Extra,5708,6
2025-12-15,SALTA,Extra,3702,7
2025-12-15,SALTA,Extra,7153,8
2025-12-15,SALTA,Extra,2307,9
2025-12-15,SALTA,Extra,2669,10
2025-12-15,SALTA,Extra,3784,11
2025-12-15,SALTA,Extra,1576,12
2025-12-15,SALTA,Extra,3192,13
2025-12-15,SALTA,Extra,7386,14
2025-12-15,SALTA,Extra,8721,15
2025-12-15,SALTA,Extra,8418,16
2025-12-15,SALTA,Extra,1494,17
2025-12-15,SALTA,Extra,7075,18
2025-12-15,SALTA,Extra,8293,19
2025-12-15,SALTA,Extra,2012,20
2025-12-15,SALTA,La Revancha,6532,1
2025-12-15,SALTA,La Revancha,4654,2
2025-12-15,SALTA,La Revancha,4154,3
2025-12-15,SALTA,La Revancha,7866,4
2025-12-15,SALTA,La Revancha,6790,5
2025-12-15,SALTA,La Revancha,9147,6
2025-12-15,SALTA,La Revancha,5687,7
2025-12-15,SALTA,La Revancha,5844,8
2025-12-15,SALTA,La Revancha,2434,9
2025-12-15,SALTA,La Revancha,0947,10
2025-12-15,SALTA,La Revancha,1065,11
2025-12-15,SALTA,La Revancha,3788,12
2025-12-15,SALTA,La Revancha,0056,13
2025-12-15,SALTA,La Revancha,1840,14
2025-12-15,SALTA,La Revancha,2053,15
2025-12-15,SALTA,La Revancha,7327,16
2025-12-15,SALTA,La Revancha,1024,17
2025-12-15,SALTA,La Revancha,0225,18
2025-12-15,SALTA,La Revancha,3481,19
2025-12-15,SALTA,La Revancha,3528,20
2025-12-15,SALTA,Matutina,8230,1
2025-12-15,SALTA,Matutina,7374,2
2025-12-15,SALTA,Matutina,1376,3
2025-12-15,SALTA,Matutina,6518,4
2025-12-15,SALTA,Matutina,3783,5
2025-12-15,SALTA,Matutina,2545,6
2025-12-15,SALTA,Matutina,6310,7
2025-12-15,SALTA,Matutina,7054,8
2025-12-15,SALTA,Matutina,7364,9
2025-12-15,SALTA,Matutina,8255,10
2025-12-15,SALTA,Matutina,6616,11
2025-12-15,SALTA,Matutina,1813,12
2025-12-15,SALTA,Matutina,2637,13
2025-12-15,SALTA,Matutina,7528,14
2025-12-15,SALTA,Matutina,7696,15
2025-12-15,SALTA,Matutina,5898,16
2025-12-15,SALTA,Matutina,9884,17
2025-12-15,SALTA,Matutina,4573,18
2025-12-15,SALTA,Matutina,2938,19
2025-12-15,SALTA,Matutina,0843,20
2025-12-15,SALTA,Nocturna,2994,1
2025-12-15,SALTA,Nocturna,3429,2
2025-12-15,SALTA,Nocturna,1184,3
2025-12-15,SALTA,Nocturna,9004,4
2025-12-15,SALTA,Nocturna,4505,5
2025-12-15,SALTA,Nocturna,6763,6
2025-12-15,SALTA,Nocturna,2365,7
2025-12-15,SALTA,Nocturna,0714,8
2025-12-15,SALTA,Nocturna,3819,9
2025-12-15,SALTA,Nocturna,5143,10
2025-12-15,SALTA,Nocturna,0104,11
2025-12-15,SALTA,Nocturna,4222,12
2025-12-15,SALTA,Nocturna,6204,13
2025-12-15,SALTA,Nocturna,2224,14
2025-12-15,SALTA,Nocturna,3806,15
2025-12-15,SALTA,Nocturna,5638,16
2025-12-15,SALTA,Nocturna,3039,17
2025-12-15,SALTA,Nocturna,4095,18
2025-12-15,SALTA,Nocturna,7917,19
2025-12-15,SALTA,Nocturna,8792,20
2025-12-15,SALTA,Vespertina,9586,1
2025-12-15,SALTA,Vespertina,0000,2
2025-12-15,SALTA,Vespertina,6118,3
2025-12-15,SALTA,Vespertina,3625,4
2025-12-15,SALTA,Vespertina,7299,5
2025-12-15,SALTA,Vespertina,2251,6
2025-12-15,SALTA,Vespertina,7935,7
2025-12-15,SALTA,Vespertina,8793,8
2025-12-15,SALTA,Vespertina,3459,9
2025-12-15,SALTA,Vespertina,8146,10
2025-12-15,SALTA,Vespertina,2113,11
2025-12-15,SALTA,Vespertina,2649,12
2025-12-15,SALTA,Vespertina,0588,13
2025-12-15,SALTA,Vespertina,2331,14
2025-12-15,SALTA,Vespertina,2560,15
2025-12-15,SALTA,Vespertina,3898,16
2025-12-15,SALTA,Vespertina,6885,17
2025-12-15,SALTA,Vespertina,2816,18
2025-12-15,SALTA,Vespertina,4128,19
2025-12-15,SALTA,Vespertina,9755,20
2025-12-16,CABA,Extra,9176,1
2025-12-16,CABA,Extra,9276,2
2025-12-16,CABA,Extra,9550,3
2025-12-16,CABA,Extra,8733,4
2025-12-16,CABA,Extra,6062,5
2025-12-16,CABA,Extra,7357,6
2025-12-16,CABA,Extra,5253,7
2025-12-16,CABA,Extra,5055,8
2025-12-16,CABA,Extra,5010,9
2025-12-16,CABA,Extra,6385,10
2025-12-16,CABA,Extra,5574,11
2025-12-16,CABA,Extra,3025,12
2025-12-16,CABA,Extra,1491,13
2025-12-16,CABA,Extra,0680,14
2025-12-16,CABA,Extra,1715,15
2025-12-16,CABA,Extra,9142,16
2025-12-16,CABA,Extra,8188,17
